Year,Country,Emigrants
CANADA,"1988",6602
JAPAN,"1988",62
AUSTRALIA,"1988",9319
ITALY,"1988",32
NEW ZEALAND,"1988",11
UNITED KINGDOM,"1988",256
GERMANY,"1988",83
SOUTH KOREA,"1988",1
SPAIN,"1988",56
OTHERS,"1988",220
USA,"1989",39524
CANADA,"1989",8040
JAPAN,"1989",1271
AUSTRALIA,"1989",5943
ITALY,"1989",109
NEW ZEALAND,"1989",55
UNITED KINGDOM,"1989",248
GERMANY,"1989",135
SOUTH KOREA,"1989",4
SPAIN,"1989",120
OTHERS,"1989",296
USA,"1990",43781
CANADA,"1990",8400
JAPAN,"1990",3569
AUSTRALIA,"1990",5847
ITALY,"1990",160
NEW ZEALAND,"1990",50
UNITED KINGDOM,"1990",291
GERMANY,"1990",334
SOUTH KOREA,"1990",4
SPAIN,"1990",94
OTHERS,"1990",619
USA,"1991",43824
CANADA,"1991",7211
JAPAN,"1991",3946
AUSTRALIA,"1991",5715
ITALY,"1991",130
NEW ZEALAND,"1991",91
UNITED KINGDOM,"1991",286
GERMANY,"1991",522
SOUTH KOREA,"1991",14
SPAIN,"1991",57
OTHERS,"1991",668
USA,"1992",46691
CANADA,"1992",7454
JAPAN,"1992",4048
AUSTRALIA,"1992",4104
ITALY,"1992",105
NEW ZEALAND,"1992",128
UNITED KINGDOM,"1992",205
GERMANY,"1992",593
SOUTH KOREA,"1992",14
SPAIN,"1992",77
OTHERS,"1992",735
USA,"1993",44903
CANADA,"1993",11627
JAPAN,"1993",4527
AUSTRALIA,"1993",3083
ITALY,"1993",123
NEW ZEALAND,"1993",237
UNITED KINGDOM,"1993",159
GERMANY,"1993",780
SOUTH KOREA,"1993",25
SPAIN,"1993",108
OTHERS,"1993",818
USA,"1994",40515
CANADA,"1994",14302
JAPAN,"1994",4225
AUSTRALIA,"1994",3224
ITALY,"1994",99
NEW ZEALAND,"1994",287
UNITED KINGDOM,"1994",174
GERMANY,"1994",784
SOUTH KOREA,"1994",18
SPAIN,"1994",86
OTHERS,"1994",817
USA,"1995",34614
CANADA,"1995",11288
JAPAN,"1995",4883
AUSTRALIA,"1995",2966
ITALY,"1995",71
NEW ZEALAND,"1995",579
UNITED KINGDOM,"1995",151
GERMANY,"1995",661
SOUTH KOREA,"1995",31
SPAIN,"1995",68
OTHERS,"1995",930
USA,"1996",41312
CANADA,"1996",10050
JAPAN,"1996",4510
AUSTRALIA,"1996",2002
ITALY,"1996",72
NEW ZEALAND,"1996",1005
UNITED KINGDOM,"1996",150
GERMANY,"1996",542
SOUTH KOREA,"1996",237
SPAIN,"1996",40
OTHERS,"1996",993
USA,"1997",37002
CANADA,"1997",8215
JAPAN,"1997",4171
AUSTRALIA,"1997",2124
ITALY,"1997",50
NEW ZEALAND,"1997",405
UNITED KINGDOM,"1997",195
GERMANY,"1997",566
SOUTH KOREA,"1997",277
SPAIN,"1997",25
OTHERS,"1997",1029
USA,"1998",24886
CANADA,"1998",5651
JAPAN,"1998",3810
AUSTRALIA,"1998",2189
ITALY,"1998",96
NEW ZEALAND,"1998",253
UNITED KINGDOM,"1998",193
GERMANY,"1998",560
SOUTH KOREA,"1998",256
SPAIN,"1998",39
OTHERS,"1998",1076
USA,"1999",24123
CANADA,"1999",6712
JAPAN,"1999",4219
AUSTRALIA,"1999",2597
ITALY,"1999",125
NEW ZEALAND,"1999",186
UNITED KINGDOM,"1999",225
GERMANY,"1999",550
SOUTH KOREA,"1999",422
SPAIN,"1999",345
OTHERS,"1999",1003
USA,"2000",31324
CANADA,"2000",8245
JAPAN,"2000",6468
AUSTRALIA,"2000",2298
ITALY,"2000",371
NEW ZEALAND,"2000",261
UNITED KINGDOM,"2000",174
GERMANY,"2000",552
SOUTH KOREA,"2000",110
SPAIN,"2000",336
OTHERS,"2000",892
USA,"2001",31287
CANADA,"2001",9737
JAPAN,"2001",6021
AUSTRALIA,"2001",1965
ITALY,"2001",823
NEW ZEALAND,"2001",284
UNITED KINGDOM,"2001",176
GERMANY,"2001",507
SOUTH KOREA,"2001",62
SPAIN,"2001",411
OTHERS,"2001",781
USA,"2002",36557
CANADA,"2002",8795
JAPAN,"2002",5734
AUSTRALIA,"2002",2603
ITALY,"2002",982
NEW ZEALAND,"2002",624
UNITED KINGDOM,"2002",271
GERMANY,"2002",518
SOUTH KOREA,"2002",55
SPAIN,"2002",451
OTHERS,"2002",1130
USA,"2003",33916
CANADA,"2003",9521
JAPAN,"2003",5929
AUSTRALIA,"2003",2223
ITALY,"2003",662
NEW ZEALAND,"2003",382
UNITED KINGDOM,"2003",225
GERMANY,"2003",445
SOUTH KOREA,"2003",77
SPAIN,"2003",586
OTHERS,"2003",1171
USA,"2004",42350
CANADA,"2004",10108
JAPAN,"2004",5993
AUSTRALIA,"2004",2647
ITALY,"2004",859
NEW ZEALAND,"2004",131
UNITED KINGDOM,"2004",309
GERMANY,"2004",393
SOUTH KOREA,"2004",289
SPAIN,"2004",579
OTHERS,"2004",1266
USA,"2005",40280
CANADA,"2005",13598
JAPAN,"2005",7062
AUSTRALIA,"2005",3027
ITALY,"2005",1250
NEW ZEALAND,"2005",394
UNITED KINGDOM,"2005",478
GERMANY,"2005",367
SOUTH KOREA,"2005",480
SPAIN,"2005",685
OTHERS,"2005",1407
USA,"2006",49522
CANADA,"2006",13230
JAPAN,"2006",9742
AUSTRALIA,"2006",3735
ITALY,"2006",954
NEW ZEALAND,"2006",1973
UNITED KINGDOM,"2006",556
GERMANY,"2006",457
SOUTH KOREA,"2006",281
SPAIN,"2006",898
OTHERS,"2006",1619
USA,"2007",46420
CANADA,"2007",14572
JAPAN,"2007",8806
AUSTRALIA,"2007",3467
ITALY,"2007",1490
NEW ZEALAND,"2007",1639
UNITED KINGDOM,"2007",654
GERMANY,"2007",424
SOUTH KOREA,"2007",576
SPAIN,"2007",933
OTHERS,"2007",1618
USA,"2008",34201
CANADA,"2008",16443
JAPAN,"2008",7682
AUSTRALIA,"2008",3657
ITALY,"2008",2405
NEW ZEALAND,"2008",1252
UNITED KINGDOM,"2008",552
GERMANY,"2008",489
SOUTH KOREA,"2008",1482
SPAIN,"2008",907
OTHERS,"2008",1730
USA,"2009",40598
CANADA,"2009",19967
JAPAN,"2009",5278
AUSTRALIA,"2009",3850
ITALY,"2009",2734
NEW ZEALAND,"2009",1725
UNITED KINGDOM,"2009",646
GERMANY,"2009",518
SOUTH KOREA,"2009",1458
SPAIN,"2009",970
OTHERS,"2009",1974
USA,"2010",42007
CANADA,"2010",27302
JAPAN,"2010",3766
AUSTRALIA,"2010",3062
ITALY,"2010",3319
NEW ZEALAND,"2010",1114
UNITED KINGDOM,"2010",817
GERMANY,"2010",510
SOUTH KOREA,"2010",1565
SPAIN,"2010",693
OTHERS,"2010",1920
USA,"2011",38463
CANADA,"2011",26203
JAPAN,"2011",3965
AUSTRALIA,"2011",3957
ITALY,"2011",3632
NEW ZEALAND,"2011",1185
UNITED KINGDOM,"2011",749
GERMANY,"2011",590
SOUTH KOREA,"2011",1618
SPAIN,"2011",871
OTHERS,"2011",2177
USA,"2012",39124
CANADA,"2012",24354
JAPAN,"2012",4759
AUSTRALIA,"2012",4259
ITALY,"2012",3818
NEW ZEALAND,"2012",1170
UNITED KINGDOM,"2012",881
GERMANY,"2012",553
SOUTH KOREA,"2012",1632
SPAIN,"2012",808
OTHERS,"2012",2282
USA,"2013",38637
CANADA,"2013",19041
JAPAN,"2013",4554
AUSTRALIA,"2013",4748
ITALY,"2013",4526
NEW ZEALAND,"2013",888
UNITED KINGDOM,"2013",829
GERMANY,"2013",609
SOUTH KOREA,"2013",1419
SPAIN,"2013",868
OTHERS,"2013",2109
USA,"2014",39594
CANADA,"2014",22479
JAPAN,"2014",4341
AUSTRALIA,"2014",4467
ITALY,"2014",3275
NEW ZEALAND,"2014",974
UNITED KINGDOM,"2014",783
GERMANY,"2014",578
SOUTH KOREA,"2014",982
SPAIN,"2014",834
OTHERS,"2014",2382
USA,"2015",40814
CANADA,"2015",33700
JAPAN,"2015",4387
AUSTRALIA,"2015",4860
ITALY,"2015",2452
NEW ZEALAND,"2015",1197
UNITED KINGDOM,"2015",936
GERMANY,"2015",651
SOUTH KOREA,"2015",700
SPAIN,"2015",1005
OTHERS,"2015",2296
USA,"2016",41298
CANADA,"2016",29039
JAPAN,"2016",4313
AUSTRALIA,"2016",4819
ITALY,"2016",2451
NEW ZEALAND,"2016",1512
UNITED KINGDOM,"2016",1129
GERMANY,"2016",613
SOUTH KOREA,"2016",694
SPAIN,"2016",966
OTHERS,"2016",2520
USA,"2017",34956
CANADA,"2017",27376
JAPAN,"2017",4129
AUSTRALIA,"2017",3993
ITALY,"2017",2241
NEW ZEALAND,"2017",1236
UNITED KINGDOM,"2017",1015
GERMANY,"2017",616
SOUTH KOREA,"2017",616
SPAIN,"2017",920
OTHERS,"2017",2681
USA,"2018",35839
CANADA,"2018",23014
JAPAN,"2018",3962
AUSTRALIA,"2018",2937
ITALY,"2018",1459
NEW ZEALAND,"2018",617
UNITED KINGDOM,"2018",1025
GERMANY,"2018",687
SOUTH KOREA,"2018",687
SPAIN,"2018",694
OTHERS,"2018",2798
USA,"2019",32698
CANADA,"2019",18190
JAPAN,"2019",3862
AUSTRALIA,"2019",2468
ITALY,"2019",774
NEW ZEALAND,"2019",1178
UNITED KINGDOM,"2019",1345
GERMANY,"2019",730
SOUTH KOREA,"2019",653
SPAIN,"2019",546
OTHERS,"2019",2720
USA,"2020",6539
CANADA,"2020",4579
JAPAN,"2020",1100
AUSTRALIA,"2020",777
ITALY,"2020",232
NEW ZEALAND,"2020",477
UNITED KINGDOM,"2020",442
GERMANY,"2020",304
SOUTH KOREA,"2020",219
SPAIN,"2020",162
OTHERS,"2020",872
